########## WARNING SNAPSHOT ##########
==================== THREAD LEAK MAINTENANCE ====================
level=WARNING
---- [1] process basic info ----
processName=thread_victim
bundleName=unknown
pid=2231
uid=0
threadCount=2101
appState=unknown
---- [2] hidumper thread maintenance (-p 2231 --thread) ----
Thread num: 2101
Top 10 Thread Names:
1	TL_Anim_0
1	TL_Anim_1
1	TL_Anim_10
1	TL_Anim_100
1	TL_Anim_101
1	TL_Anim_102
1	TL_Anim_103
1	TL_Anim_104
1	TL_Anim_11
1	TL_Anim_12

---- [3] per-thread run state and cpu run time ----
thread_total=2101
tid	state	cpuUsage	cpuLoad	name
2865	S	0	0	TL_Upload_31
2866	S	0	0	TL_Download_31
2867	S	0	0	TL_Parser_31
2868	S	0	0	TL_Watchdog_31
2869	S	0	0	TL_Event_31
2870	S	0	0	TL_Sync_31
2871	S	0	0	TL_Log_31
2872	S	0	0	TL_Worker_32
2873	S	0	0	TL_IO_32
2874	S	0	0	TL_Net_32
2875	S	0	0	TL_Render_32
2876	S	0	0	TL_Audio_32
2877	S	0	0	TL_Codec_32
2878	S	0	0	TL_GC_32
2879	S	0	0	TL_Timer_32
2880	S	0	0	TL_IPC_32
2881	S	0	0	TL_DB_32
2882	S	0	0	TL_Cache_32
2883	S	0	0	TL_Sensor_32
2884	S	0	0	TL_Anim_32
2885	S	0	0	TL_Upload_32
2886	S	0	0	TL_Download_32
2887	S	0	0	TL_Parser_32
2888	S	0	0	TL_Watchdog_32
2889	S	0	0	TL_Event_32
2890	S	0	0	TL_Sync_32
2891	S	0	0	TL_Log_32
2892	S	0	0	TL_Worker_33
2893	S	0	0	TL_IO_33
2894	S	0	0	TL_Net_33
2895	S	0	0	TL_Render_33
